id,name,description,main_category_id,sub_category_id,gender,size,color,imgurls
25,"Linen Cotton Shorts","Fabric details\nBody: 53% Linen, 47% Cotton/ Pocket Lining: 80% Polyester, 20% Cotton\nFunction details\n- Sheer: Not Sheer(Only 31 Beige is slightly sheer)\n- Fit: Regular\n- Pockets: With Pockets\nWashing instructions\nMachine wash cold, Dry Clean, Do not tumble dry.",5,16,"Women","XS, S, M, L, XL","White, Gray","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/473698/item/vngoods_31_473698_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/473698/item/vngoods_69_473698_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/473698/sub/goods_473698_sub14_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/473698/sub/goods_473698_sub15_3x4.jpg?width=369"
31,"Work Jacket","Fabric details\n100% Polyester\nFunction details\n- Fit: Relaxed\n- Pockets: With Pockets(Inside pocket(s))\nWashing instructions\nHand wash cold, Dry Clean, Do not tumble dry.",1,7,"Men","S, M, L","Black, Brown","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/476645/item/vngoods_09_476645_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/476645/item/vngoods_34_476645_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/476645/sub/vngoods_476645_sub7_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/476645/sub/goods_476645_sub14_3x4.jpg?width=369"
33,"BLOCKTECH Single Breasted Coat","Fabric details\nBody: 65% Polyester, 35% Cotton ( 65% Uses Recycled Polyesterr Fiber )/ Pocket Lining: Outer Layer: 65% Polyester, 35% Cotton/ Pocket Lining: Inner Layer: 65% Polyester, 35% Cotton ( 65% Uses Recycled Polyesterr Fiber )\nFunction details\n- Fit: Oversized\n- Pockets: With Pockets\nWashing instructions\nHand wash cold, Do not Dry Clean, Do not tumble dry.",1,8,"Men","S, M, L","Black, Beige, Olive","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/475402/item/vngoods_09_475402_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/475402/sub/vngoods_475402_sub7_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/475402/item/vngoods_56_475402_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/475402/sub/goods_475402_sub14_3x4.jpg?width=369"
34,"Oversized Single Breasted Coat","Fabric details\nShell: 75% Rayon, 25% Nylon/ Body Lining: 65% Polyester, 35% Cotton/ Sleeve Lining: 100% Polyester/ Pocket Lining Trong: Pocket Lining Under: Outer Layer: 65% Polyester, 35% Cotton/ Pocket Lining Under: Inner Layer: 75% Rayon, 25% Nylon\nFunction details\n- Fit: Oversized\n- Pockets: With Pockets\nWashing instructions\nHand wash cold, Dry Clean, Do not tumble dry.",1,8,"Men","S, M, L","Gray, Black","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/475634/item/vngoods_07_475634_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/475634/item/vngoods_09_475634_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/475634/sub/goods_475634_sub11_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/475634/sub/goods_475634_sub14_3x4.jpg?width=369"
35,"UTme! OHQUAO | Banh mi","Fabric details\n100% Cotton\nWashing instructions\nMachine wash cold, Do not Dry Clean, Do not tumble dry.",2,9,"Unisex","XS, S, M, L, XL","White","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/481275003/item/vngoods_51_481275003_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/481275003/sub/vngoods_481275003_sub2_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/481275003/sub/goods_481275003_sub17_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/481275003/sub/goods_481275003_sub18_3x4.jpg?width=369"
36,"Oversized T-Shirt | Bi-color","Fabric details\n100% Cotton\nFunction details\n- Sheer: Not Sheer\n- Fit: Oversized\n- Pockets: No Pockets\nWashing instructions\nMachine wash cold, Dry Clean, Do not tumble dry.",2,9,"Men","XS, S, M, L, XL","Wine, Olive, Navy","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/475366/item/vngoods_18_475366_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/475366/item/vngoods_57_475366_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/475366/item/vngoods_69_475366_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/475366/sub/goods_475366_sub14_3x4.jpg?width=369"
37,"DRY-EX UV Protection Half Zip T-Shirt","Fabric details\n100% Polyester ( 39% Uses Recycled Polyesterr Fiber )\nFunction details\n- Sheer: Not Sheer\n- Fit: Regular\n- Pockets: No Pockets\nWashing instructions\nMachine wash cold, gentle cycle, Do not Dry Clean, Do not tumble dry.",2,11,"Men","XS, S, M, L, XL","White, Black, Blue","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/478676/item/vngoods_01_478676_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/478676/item/vngoods_09_478676_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/478676/item/vngoods_67_478676_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/478676/sub/goods_478676_sub14_3x4.jpg?width=369"
38,"DRY-EX T-Shirt","Fabric details\n70% Polyester, 30% Nylon ( 35% Uses Recycled Polyesterr Fiber )\nFunction details\n- Sheer: Not Sheer\n- Fit: Oversized\n- Pockets: No Pockets\nWashing instructions\nMachine wash cold, gentle cycle, Do not Dry Clean, Do not tumble dry.",2,11,"Men","S, M, L","Gray, Black, Green","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/476223/item/vngoods_05_476223_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/476223/item/vngoods_08_476223_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/476223/item/vngoods_50_476223_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/476223/sub/goods_476223_sub13_3x4.jpg?width=369"
40,"Oxford Slim Fit Shirt","Fabric details\n100% Cotton\nWashing instructions\nMachine wash cold, Dry Clean, Do not tumble dry.",3,12,"Men","XS, S, M, L, XL","White, Gray, Navy","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/462368/item/vngoods_01_462368_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/462368/sub/vngoods_462368_sub7_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/462368/sub/goods_462368_sub14_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/462368/sub/goods_462368_sub17_3x4.jpg?width=369"
41,"Broadcloth Oversized Shirt | Striped","Fabric details\n100% Cotton\nFunction details\n- Sheer: Not Sheer(Only 01 Off White is slightly sheer)\n- Fit: Oversized\nWashing instructions\nMachine wash cold, Dry Clean, Do not tumble dry.",3,10,"Men","XS, S, M, L, XL","White, Brown","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/477643/item/vngoods_01_477643_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/477643/sub/vngoods_477643_sub7_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/477643/sub/goods_477643_sub13_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/477643/sub/goods_477643_sub14_3x4.jpg?width=369"
42,"Broadcloth Oversized Shirt","Fabric details\n100% Cotton\nFunction details\n- Sheer: Not Sheer(Only 00 White is slightly sheer)\n- Fit: Oversized\nWashing instructions\nMachine wash cold, Dry Clean, Do not tumble dry.",3,10,"Men","XS, S, M, L, XL","White, Brown, Navy","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/476246/item/vngoods_00_476246_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/476246/sub/vngoods_476246_sub7_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/476246/item/vngoods_69_476246_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/476246/sub/goods_476246_sub14_3x4.jpg?width=369"
43,"Wide Straight Jeans","Fabric details\nBody: 100% Cotton/ Pocket Lining: 65% Polyester, 35% Cotton\nFunction details\n- Fit: Loose\n- Silhouette: Straight\n- Pockets: With Pockets\nWashing instructions\nMachine wash cold, Do not Dry Clean, Do not tumble dry.",5,15,"Men","S, M, L, XL","Gray, Black, Blue","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/470542/item/vngoods_02_470542_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/470542/item/vngoods_08_470542_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/470542/item/vngoods_64_470542_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/470542/sub/goods_470542_sub13_3x4.jpg?width=369"
44,"Wide Tapered Jeans","Fabric details\n[09 BLACK, 65 BLUE, 68 BLUE] Body: 100% Cotton/ Pocket Lining: 65% Polyester, 35% Cotton [30 NATURAL] Body: 100% Cotton/ Pocket Lining: 100% Cotton\nFunction details\n- Fit: Loose\n- Silhouette: Tapered\n- Pockets: With Pockets\nWashing instructions\nMachine wash cold, Do not Dry Clean, Do not tumble dry.",5,15,"Men","S, M, L, XL","Black, Natural, Blue","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/475595/item/vngoods_09_475595_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/475595/item/vngoods_30_475595_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/475595/item/vngoods_65_475595_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/475595/sub/goods_475595_sub13_3x4.jpg?width=369"
45,"Wide Fit Cargo Half Pants","Fabric details\nBody: 100% Nylon/ Pocket Lining: Mesh: 100% Polyester\nFunction details\n- Fit: Loose\n- Pockets: With Pockets\nWashing instructions\nMachine wash cold, gentle cycle, Do not Dry Clean, Do not tumble dry.",5,16,"Men","S, M, L","Orange, Olive, Navy","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/476195/item/vngoods_25_476195_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/476195/item/vngoods_56_476195_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/476195/item/vngoods_69_476195_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/476195/sub/goods_476195_sub14_3x4.jpg?width=369"
46,"Wide Fit Cargo Shorts","Fabric details\nBody: 66% Cotton, 34% Nylon/ Pocket Lining: Outer Layer: 65% Polyester, 35% Cotton/ Pocket Lining: Inner Layer: 66% Cotton, 34% Nylon\nFunction details\n- Fit: Loose\n- Pockets: With Pockets\nWashing instructions\nMachine wash cold, gentle cycle, Dry Clean, Do not tumble dry.",5,16,"Men","S, M, L","Black, Wine, Brown, Green","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/476194/item/vngoods_09_476194_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/476194/item/vngoods_19_476194_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/476194/item/vngoods_34_476194_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/476194/item/vngoods_53_476194_3x4.jpg?width=369"
32,"Cotton Linen Shirt Jacket","Fabric details\nBody: 66% Cotton, 34% Linen/ Pocket Lining Under: Outer Layer: 80% Polyester, 20% Cotton/ Pocket Lining Under: Inner Layer: 66% Cotton, 34% Linen\nFunction details\n- Sheer: Not Sheer\n- Fit: Regular\nWashing instructions\nMachine wash cold, gentle cycle, Dry Clean, Do not tumble dry.",1,7,"Men","S, M, L","White, Olive, Navy","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/477557/item/vngoods_57_477557_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/477557/sub/vngoods_477557_sub1_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/477557/sub/vngoods_477557_sub7_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/477557/sub/goods_477557_sub13_3x4.jpg?width=369"
39,"Flannel Shirt | Checked","Fabric details\n100% Cotton\nFunction details\n- Sheer: Not Sheer\n- Fit: Regular\nWashing instructions\nMachine wash cold, Dry Clean, Do not tumble dry.",3,12,"Unisex","XS, S, M, L, XL","Gray, Red, Brown","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/470187/item/vngoods_03_470187_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/470187/item/vngoods_15_470187_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/470187/item/vngoods_38_470187_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/470187/sub/goods_470187_sub14_3x4.jpg?width=369"
47,"Multi Pocket Shoulder Bag","Fabric details\nShell: 100% Nylon/ Liner: 100% Polyester/ Filling: 100% Polyester/ Shoulder: 100% Polyester\nSize\nWidth(Top): 36cm, Width(Bottom): 33.5cm, Height: 26.5cm, Depth: 11cm, Shoulder Strap Length: 61cm～115cm, Bag Capacity: 13Liters\nWashing instructions\nDo not wash, Do not Dry Clean, Do not tumble dry.",6,17,"Unisex","S, M","Black, Olive","https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/476764/item/goods_09_476764_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/476764/item/goods_57_476764_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/476764/sub/goods_476764_sub1_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/476764/sub/goods_476764_sub20_3x4.jpg?width=369"
48,"Gift Bag","Fabric details\n100% Cotton\nWashing instructions\nHand wash cold, Do not Dry Clean, Do not tumble dry.",6,17,"Unisex","S, M","White","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/452580/item/vngoods_01_452580_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/452580/sub/vngoods_452580_sub15_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/452580/sub/vngoods_452580_sub16_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/452580/sub/vngoods_452580_sub28_3x4.jpg?width=369"
27,"Round Ultra Mini Bag","Fabric details\nShell: 100% Nylon ( 100% Uses Recycled Nylon Fiber )/ Liner: 100% Polyester/ Filling: 100% Polyester/ Shoulder: 100% Polyester\nSize\nWidth(Top): 21.5cm, Height: 11.5cm, Depth: 9.5cm, Shoulder Strap Length: 61.5cm～108cm, Bag Capacity: 2Liters\nWashing instructions\nDo not wash, Do not Dry Clean, Do not tumble dry.",6,17,"Women","S, M","White, Black, Pink, Natural, Green","https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/481104/item/goods_01_481104_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/481104/sub/goods_481104_sub1_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/481104/sub/goods_481104_sub13_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/481104/sub/goods_481104_sub17_3x4.jpg?width=369"
28,"Round Mini Shoulder Bag","Fabric details\nShell: 100% Polyester/ Liner: 100% Polyester/ Filling: 100% Polyester/ Shoulder: 100% Polyester\nSize\nWidth(Top): 28cm, Height: 17cm, Depth: 10cm, Shoulder Strap Length: 62cm～116cm, Bag Capacity: 4Liters\nWashing instructions\nDo not wash, Do not Dry Clean, Do not tumble dry.",6,17,"Unisex","S, M","Black, Pink, Yellow, Blue","https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/476379/sub/goods_476379_sub1_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/476379/item/goods_11_476379_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/476379/item/goods_42_476379_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/476379/item/goods_65_476379_3x4.jpg?width=369"
29,"Mesh Long Belt","Fabric details\nGenuine Leather\nSize\nTotal Length: 114.3cm, Panel Width: 2cm\nWashing instructions",6,18,"Women","S, M","White, Black, Brown","https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/473473/item/goods_01_473473_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/473473/sub/goods_473473_sub1_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/473473/item/goods_09_473473_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/473473/item/goods_39_473473_3x4.jpg?width=369"
30,"Slide Buckle Belt","Fabric details\nGenuine Leather\nWashing instructions",6,18,"Unisex","S, M","Black, Brown","https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/476854/item/goods_09_476854_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/476854/item/goods_37_476854_3x4.jpg?width=369"
49,"Italian Oiled Leather Belt","Fabric details\nGenuine Leather\nWashing instructions",6,18,"Men","S, M","Black, Brown","https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/463730/item/goods_09_463730_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/463730/item/goods_37_463730_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/463730/sub/goods_463730_sub17_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/463730/sub/goods_463730_sub18_3x4.jpg?width=369"
50,"Leather Mesh Belt","Fabric details\nGenuine Leather\nWashing instructions",6,18,"Men","S, M","Black, Brown","https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/475149/item/goods_09_475149_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/475149/item/goods_36_475149_3x4.jpg?width=369"
60,"test","mẫu thử nha",3,10,"Women","M, L, XL","Dark Green, Dark Gray","/api/upload/image/1749036058697_a2cbd1df-ad81-4b33-b9e7-43ff2f7ff808.jpg"
1,"Cotton Tencel Jacket Relaxed Fit","Fabric details\nBody: 50% Cotton, 50% Lyocell/ Pocket Lining: Outer Layer: 100% Polyester/ Pocket Lining: Inner Layer: 50% Cotton, 50% Lyocell\nFunction details\n- Fit: Oversized\n- Pockets: With Pockets\nWashing instructions\nHand wash cold, Dry Clean, Do not tumble dry",1,7,"Women","S, M, L","White, Black","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/476941/item/vngoods_02_476941_3x4.jpg?width=423, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/476941/sub/goods_476941_sub14_3x4.jpg?width=423, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/476941/sub/vngoods_476941_sub7_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/476941/sub/vngoods_476941_sub1_3x4.jpg?width=369"
19,"Linen Blend Camisole Dress | Striped","Fabric details\nBody: 51% Rayon, 32% Linen, 17% Cotton/ Pocket Lining: 100% Polyester ( 44% Uses Recycled Polyesterr Fiber )/ Petticoat: 100% Polyester ( 44% Uses Recycled Polyesterr Fiber )\nFunction details\n- Sheer: Not Sheer(Only 01 Off White is slightly sheer)\n- Lining: Lined(Half-slip)\n- Pockets: With Pockets\nWashing instructions\nMachine wash cold, gentle cycle, Dry Clean, Do not tumble dry.",4,14,"Women","XS, S, M, L, XL","White","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/477310/item/vngoods_01_477310_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/477310/sub/goods_477310_sub14_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/477310/sub/goods_477310_sub15_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/477310/feature/vngoods_477310_feature1.jpg"
